age,ownd1970,ownd1980,ownd1990,ownd2000,ownd2001,ownd2002,ownd2003,ownd2004,ownd2005,ownd2006,ownd2007,ownd2008,ownd2009,ownd2010,ownd2011,ownd2012,ownd2013,ownd2014,ownd2015,ownd2016,ownd2017,ownd2018,ownd2019,ownd2020,ownd2021
21,.16058733,.18632561,.12305138,.14489232,.1408665,.14391649,.14540337,.1514152,.1349429,.12746863,.12763096,.11559992,.11438368,.10875622,.095586933,.092489794,.094422616,.09597224,.095116682,.08787147,.10034575,.11059783,.11112646,.12896171,.11957955
22,.18163331,.21333311,.14234543,.18463065,.16044198,.16794869,.18004668,.15875372,.14883937,.16071491,.16862935,.14464988,.14179219,.12591989,.11941833,.10729469,.10382285,.10109239,.11638965,.11233113,.12203708,.12512605,.13927029,.14149585,.15406081
23,.22097914,.25220108,.17577939,.19883665,.19652389,.20766558,.19517961,.19568226,.19757614,.20371544,.19125167,.17982312,.16294552,.16151921,.15190418,.14114255,.13643171,.13881139,.13861084,.146726,.15326478,.15670927,.16076675,.18677405,.18360808
24,.26673898,.30236819,.21341667,.23491201,.22903357,.24729587,.22702204,.24525073,.25238591,.2496299,.24627653,.23452473,.21917798,.21272078,.18056519,.17793746,.17972557,.16674665,.17541522,.16771556,.19567873,.19004653,.20569624,.2151407,.21873036
25,.31185707,.34811211,.2595731,.26248083,.26654294,.2922028,.28943944,.30241728,.29964596,.30459481,.30233005,.28224486,.2586827,.2423276,.22980288,.22135681,.21037486,.20328593,.21842419,.20442484,.20738801,.22073554,.22162417,.24530986,.25481692
26,.38022032,.39220253,.30685475,.30526349,.32614082,.32267869,.34738809,.3494347,.34183991,.34841743,.35548738,.32458368,.30800503,.29543823,.28842619,.25742513,.24152845,.24282032,.24841481,.25168398,.26114219,.26800904,.26366445,.28241712,.29916316
27,.42359576,.44016185,.35044709,.37438571,.34253499,.37081906,.38692343,.39384106,.39002514,.38765359,.38483182,.38262534,.34924078,.33249938,.32182378,.29879001,.29293802,.28403109,.28847128,.28583258,.28874823,.2995232,.30150443,.31834364,.33848009
28,.45677775,.48088548,.39676183,.39691314,.39495528,.40230429,.40940705,.41777667,.42477041,.43104106,.41846493,.40520811,.37952191,.38115922,.35322297,.33808777,.33144742,.3293587,.31887329,.3181372,.3337746,.32945621,.33746254,.35404828,.36315081
29,.500516,.51281565,.43538088,.43773159,.44149444,.43955365,.45181569,.45766619,.46554723,.46814558,.46933287,.43814453,.41982743,.40618059,.38898543,.37029356,.36024329,.35399491,.35590923,.35806412,.37938347,.37122974,.3634505,.38418812,.40508103
30,.52803701,.54878902,.46672791,.48235434,.46725428,.46942797,.45918104,.48706484,.48693991,.47917032,.48434347,.46598428,.43932983,.42351723,.40854648,.39477921,.3920047,.38889736,.38606071,.37720868,.39515805,.39363855,.39031965,.42337802,.42146066
31,.56680018,.58671522,.5090363,.52348477,.49615073,.51261979,.50449216,.50874168,.52042162,.50916475,.51646167,.49267608,.48136294,.4587552,.44315231,.42376515,.41775653,.41371807,.41561979,.42458621,.43588081,.43244684,.43576035,.46014386,.45735583
32,.58884352,.6192295,.52742392,.51958227,.53471082,.53456825,.54934949,.54641491,.54192859,.54074401,.53135878,.51557302,.49936247,.48419183,.47313634,.45111912,.44354767,.45226303,.43810761,.44719124,.46030858,.45384693,.45772013,.47509709,.4784002
33,.61226362,.64397728,.55438268,.52192062,.56081086,.56234252,.57404536,.56761009,.55921,.56068325,.56368965,.54354209,.52759099,.5082078,.4932017,.46976656,.46254158,.46074608,.46334839,.45979086,.48566368,.48543161,.48103875,.51388896,.50949466
34,.62649077,.65595609,.57834262,.57882613,.57711512,.58558232,.58699793,.57434535,.57686108,.58430499,.57870167,.56448054,.54333556,.52676141,.51051241,.49291703,.49212834,.46664238,.47090024,.48325479,.49776256,.49760902,.50692266,.53375834,.5270167
35,.64411366,.66853285,.59158421,.56857914,.59108102,.58833152,.59907466,.59450263,.59798497,.5868184,.58338821,.56590497,.56069303,.54980415,.52781153,.50954819,.49958298,.48974338,.49091646,.49352637,.50973457,.51849127,.52511716,.55168313,.54978281
36,.65617388,.69412982,.61492437,.63312376,.61211485,.62647355,.61479568,.62174052,.62217468,.61660725,.61508578,.59641802,.58003384,.56973612,.54573435,.53086287,.5277741,.51537603,.52427882,.51528794,.53099751,.5350799,.53741813,.5765664,.56863874
